lender_name,program_type,min_loan_amount,max_loan_amount,min_credit_score,credit_tier_required,min_years_in_business,interest_rate_min,interest_rate_max,max_term_months,sba_guarantee_pct,eligible_business_types,requires_collateral,max_existing_debt_ratio,turnaround_days,special_requirements,last_updated
First National Bank,Community Advantage,10000,250000,620,Fair,1,11,13.6,84,85,All,Varies,0.5,23,No recent bankruptcies (7 years),1/16/2026
First National Bank,SBA Express,25000,350000,680,Good,2,11.4,12.5,84,50,All,No,0.45,13,Requires 10% owner injection,1/2/2026
First National Bank,504 Loan,250000,5000000,680,Good,2,7,7.7,240,40,Manufacturing,Yes,0.5,73,No recent bankruptcies (7 years),1/23/2026
First National Bank,7(a) Small Loan,30000,250000,640,Good,1,10.6,12.6,120,85,Restaurant/Food Service,No,0.55,20,,1/31/2026
Pacific Commerce Bank,Community Advantage,10000,250000,620,Fair,1,11.1,12.8,120,85,Manufacturing,Varies,0.4,42,Must be in business at least 6 months before applying,1/12/2026
Pacific Commerce Bank,7(a) Standard,150000,5000000,660,Good,3,9.9,11.6,300,75,Professional Services,Varies,0.55,51,Requires 10% owner injection,1/28/2026
Pacific Commerce Bank,7(a) Small Loan,50000,350000,640,Good,1,11.1,12.2,120,85,Construction,No,,19,Franchise must be SBA-approved,1/27/2026
Heritage Credit Union,7(a) Standard,50000,5000000,660,Good,3,9,10.7,120,85,Restaurant/Food Service,Yes,,57,Must be in business at least 6 months before applying,1/23/2026
Heritage Credit Union,7(a) Small Loan,30000,250000,680,Good,1,9.2,10.8,120,85,Retail,Varies,0.45,19,Franchise must be SBA-approved,2/3/2026
Heritage Credit Union,SBA Express,10000,500000,650,Good,2,10.3,11.4,84,50,All,No,0.45,10,,1/23/2026
Heritage Credit Union,504 Loan,125000,5000000,700,Good,3,6.3,7.7,300,40,Retail,Yes,0.4,52,,2/3/2026
Summit Lending Group,504 Loan,250000,5500000,680,Good,3,6,7.5,300,40,All,Yes,,61,Must demonstrate positive cash flow,1/14/2026
Summit Lending Group,Community Advantage,10000,350000,620,Fair,1,10.4,12.1,84,85,Manufacturing,No,0.5,30,Real estate purchase only,2/7/2026
Summit Lending Group,SBA Express,10000,500000,650,Good,2,12.3,13.9,84,50,Manufacturing,No,0.45,6,,1/27/2026
Summit Lending Group,7(a) Standard,150000,3000000,660,Good,2,9.8,11.7,180,75,Restaurant/Food Service,Varies,,46,Must be in business at least 6 months before applying,2/4/2026
Coastal Capital,7(a) Standard,50000,2000000,660,Good,2,10.3,11.5,120,85,All,Yes,,53,,1/25/2026
Coastal Capital,Community Advantage,10000,350000,620,Fair,2,12.4,13.9,120,85,Restaurant/Food Service,No,0.5,45,Must be in business at least 6 months before applying,1/3/2026
Coastal Capital,7(a) Small Loan,50000,250000,640,Good,1,11.5,12.9,120,85,Restaurant/Food Service,No,0.4,15,,1/29/2026
Coastal Capital,504 Loan,250000,5500000,700,Good,2,6.4,7.8,240,40,All,Yes,0.4,68,Owner-occupied real estate only,1/15/2026
Midwest Business Finance,SBA Express,25000,500000,650,Good,2,9.6,11.4,120,50,Construction,Varies,,14,Requires 10% owner injection,1/22/2026
